,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
0,Albania,754.562 ,732.789 ,768.010 ,737.022 ,804.074 ,833.9780000000001,829.298,832.543,831.8989999999999,832.1669999999999,834.8580000000001,603.439 ,AL
1,Austria,7911.725 ,8163.403 ,7874.596 ,7792.366 ,8294.925 ,8228.068000000001,8464.597,8598.511999999999,8724.365,8836.593,8835.886,7728.024 ,AT
2,Bosnia and Herzegovina,: ,: ,: ,: ,: ,988.905,1030.976,1196.912,1248.92,1238.269,1322.151,1195.818 ,BA
3,Belgium,8983.816 ,8942.501 ,8799.874 ,8542.173 ,8387.048 ,8520.783000000001,8910.586,9010.348,8858.129,8897.132,8835.707,7764.756 ,BE
4,Bulgaria,2761.501 ,2694.753 ,2759.922 ,2914.390 ,2620.341 ,2916.487,3211.585,3268.077,3324.915,3372.188,3409.5440000000003,3215.317 ,BG
5,Cyprus,749.520 ,765.447 ,744.315 ,687.941 ,619.936 ,599.5419999999999,621.9490000000001,658.1469999999999,681.155,684.7710000000001,692.28,617.279 ,CY
6,Czechia,6220.839 ,5916.110 ,5935.592 ,5788.889 ,5738.681 ,5948.768,6195.22,6417.093000000001,6617.264,6659.891,6778.778,6378.679 ,CZ
7,Germany,52532.628 ,53143.376 ,53638.674 ,53259.098 ,54240.042 ,55445.775,55144.755999999994,56556.58900000001,57247.225,55470.398,56220.462,50965.833 ,DE
8,Denmark,4387.797 ,4351.728 ,4340.893 ,4064.881 ,3997.071 ,4031.4179999999997,4217.267,4274.602,4264.460999999999,4308.604,4236.178,3937.089 ,DK
9,Euro area - 19 countries  (from 2015),231893.362 ,231278.353 ,230003.826 ,221572.262 ,219824.465 ,222239.10100000002,223837.695,227328.396,229011.651,229214.175,230901.19199999998,197151.764 ,EA19
10,Estonia,713.250 ,754.608 ,749.262 ,757.812 ,739.198 ,741.51,760.0039999999999,776.895,803.862,832.1210000000001,831.9789999999999,792.765 ,EE
11,Greece,8354.058 ,7476.887 ,6705.525 ,5615.546 ,5608.770 ,5635.496999999999,5753.399,5897.048000000001,5815.313,5897.204000000001,6045.183000000001,5141.857 ,EL
12,Spain,34807.408 ,34247.277 ,32463.578 ,29785.944 ,28189.828 ,28413.265,29426.255,30616.377999999997,31731.647999999997,32531.635,32951.155,26162.033 ,ES
13,European Union - 27 countries (from 2020),280618.705 ,279967.207 ,278927.981 ,269164.775 ,265646.991 ,269127.74100000004,272834.67100000003,279114.659,284800.49,286272.524,289013.779,251969.943 ,EU27_2020
14,Finland,4131.599 ,4304.201 ,4300.510 ,4197.694 ,4209.977 ,4113.791,4105.519,4180.495,4194.606,4242.019,4178.236,3882.493 ,FI
15,France,43544.413 ,43568.598 ,45242.109 ,45123.116 ,44815.853 ,45076.465,45539.462999999996,45704.835,46056.598,45104.155,45100.234000000004,38218.653 ,FR
16,Georgia,: ,: ,: ,: ,1110.934 ,1256.162,1365.34,1524.342,1384.402,1352.7279999999998,1404.0520000000001,1340.380 ,GE
17,Croatia,2068.966 ,1981.140 ,1942.858 ,1904.545 ,1925.168 ,1901.4560000000001,1997.376,2044.565,2196.674,2146.863,2235.149,1968.602 ,HR
18,Hungary,4480.534 ,4089.374 ,3812.948 ,3692.233 ,3459.986 ,3873.295,4181.253,4261.874,4496.778,4790.228,5070.454000000001,4459.340 ,HU
19,Ireland,4162.232 ,3907.952 ,3706.343 ,3626.675 ,3687.125 ,3837.7790000000005,3886.285,4098.209,4052.02,4096.898,4123.935,3478.749 ,IE
20,Iceland,299.921 ,284.454 ,275.915 ,270.221 ,277.329 ,278.661,300.785,333.07099999999997,352.87,369.539,360.095,305.373 ,IS
