,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
13,European Union - 27 countries (from 2020),935064.560 ,973146.690 ,933989.941 ,933320.395 ,931828.221 ,890628.6120000001,909449.29,927747.565,940587.2840000001,942623.193,937857.122,885764.446 ,EU27_2020
14,Finland,22786.515 ,25026.204 ,23714.470 ,23940.013 ,23561.152 ,23414.801,23048.993,24011.195,24613.485,25005.02,24728.507,23191.074 ,FI
15,France,142254.918 ,146258.394 ,141064.300 ,146059.426 ,148813.512 ,137711.422,140867.459,143408.691,142342.75199999998,140324.69199999998,139131.269,128168.955 ,FR
16,Georgia,: ,: ,: ,: ,3505.478 ,3796.823,3919.153,4165.670999999999,4212.4,4155.102,4266.538,4188.821 ,GE
17,Croatia,7098.770 ,7129.931 ,6875.184 ,6559.662 ,6468.037 ,6130.773,6484.349,6531.665,6792.599,6682.495,6726.385,6431.987 ,HR
18,Hungary,16562.120 ,16879.616 ,16917.517 ,16003.531 ,16255.431 ,15775.708,16829.628,17306.308,17874.513,17849.381,17969.639,17601.520 ,HU
19,Ireland,11230.707 ,11186.951 ,10358.691 ,10173.625 ,10246.872 ,10189.516,10512.54,10921.093,10871.506000000001,11335.707,11317.018999999998,10840.191 ,IE
20,Iceland,2563.602 ,2517.495 ,2521.164 ,2600.490 ,2706.726 ,2739.703,2848.6240000000003,2801.368,2848.9559999999997,3078.8779999999997,2934.494,2869.721 ,IS
21,Italy,121907.849 ,123052.729 ,117518.026 ,116559.044 ,114053.675 ,108848.35,112108.171,111554.603,113611.214,114296.93699999999,113119.475,103057.147 ,IT
22,Lithuania,4606.207 ,4757.259 ,4728.244 ,4838.968 ,4712.305 ,4800.537,4779.51,5003.215,5239.082,5466.581,5460.021,5284.212 ,LT
23,Luxembourg,3659.240 ,3895.179 ,3889.180 ,3799.238 ,3753.096 ,3596.583,3534.545,3533.3320000000003,3607.616,3736.716,3790.355,3265.475 ,LU
24,Latvia,3937.475 ,4002.237 ,3751.161 ,3908.282 ,3732.245 ,3776.066,3680.167,3697.4429999999998,3875.195,4024.765,3924.687,3798.185 ,LV
25,Moldova,: ,2268.192 ,2336.770 ,2267.918 ,2294.391 ,2295.133,2357.098,2457.919,2589.822,2702.5959999999995,2581.574,2532.223 ,MD
26,Montenegro,724.270 ,714.626 ,719.280 ,698.970 ,640.991 ,628.575,662.6439999999999,688.7610000000001,728.8889999999999,729.633,760.625,696.840 ,ME
27,North Macedonia,1672.720 ,1789.926 ,1903.210 ,1845.693 ,1814.802 ,1797.481,1837.589,1847.733,1858.961,1832.761,1937.818,1823.925 ,MK
28,Malta,362.496 ,401.350 ,388.461 ,407.257 ,421.114 ,435.716,462.343,458.759,492.38,513.265,544.4590000000001,499.875 ,MT
29,Netherlands,47131.065 ,50750.459 ,46801.356 ,47021.790 ,47160.000 ,42691.806,43503.883,44493.404,44677.0,45146.41099999999,44317.170999999995,42261.788 ,NL
30,Norway,18216.419 ,19463.421 ,18806.465 ,19029.278 ,19025.182 ,18613.148999999998,18847.228,19171.661,19285.569,19413.346999999998,19471.047,18928.581 ,NO
31,Poland,60591.998 ,65257.858 ,63610.484 ,63257.875 ,62106.266 ,60203.402,60861.471,65136.435999999994,69241.01299999999,73082.617,71890.679,70250.647 ,PL
32,Portugal,17418.414 ,17269.567 ,16441.254 ,15111.588 ,14908.318 ,15386.388,15550.875,15640.739,15900.697,16154.479,16356.34,15215.170 ,PT
33,Romania,21775.633 ,22038.770 ,22590.604 ,22629.168 ,21631.325 ,21470.367000000002,21600.24,21935.25,22980.154,23444.791,23712.653,23472.380 ,RO
34,Serbia,8253.448 ,8762.533 ,9082.112 ,8412.293 ,8201.681 ,7681.611999999999,7885.885,8206.431,8363.238000000001,8435.035,8361.004,8658.338 ,RS
35,Sweden,30257.495 ,32470.569 ,32064.667 ,32311.573 ,31671.579 ,30928.825,31510.947999999997,32037.681,31849.847999999998,31729.197999999997,31304.822999999997,31454.317 ,SE
36,Slovenia,4842.593 ,5047.440 ,5037.235 ,4909.818 ,4804.230 ,4608.016,4715.2429999999995,4893.657999999999,4958.98,4952.728,4862.82,4428.839 ,SI
37,Slovakia,9654.671 ,10371.086 ,9732.586 ,9198.465 ,9412.124 ,8740.489,8939.677,9225.739,9903.027,9911.515,10248.401,9610.916 ,SK
38,Turkey,67500.576 ,71036.168 ,76076.088 ,79158.418 ,78466.784 ,80844.293,86846.978,90318.129,100475.004,98632.99699999999,99100.14300000001,101143.008 ,TR
39,Ukraine,63324.836 ,68387.540 ,69646.492 ,66404.075 ,65144.066 ,57893.824,47488.152,48826.187999999995,47345.792,48417.734000000004,46886.431,44184.237 ,UA
40,United Kingdom,124351.970 ,130080.082 ,118840.372 ,122658.595 ,123395.413 ,116594.037,120063.341,121886.09199999999,120950.74699999999,122583.69,121414.48300000001,: ,UK
41,Kosovo (under United Nations Security Council Resolution 1244/99),1168.988 ,1190.842 ,1266.098 ,1219.372 ,1167.578 ,1230.7,1339.9279999999999,1433.037,1516.0639999999999,1471.026,1515.131,1524.673 ,XK
