,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
0,Albania,1840.737 ,1897.918 ,1953.468 ,1790.623 ,1961.871 ,2058.574,1962.4979999999998,1899.558,2078.928,2134.212,2053.036,1846.436 ,AL
1,Austria,24684.381 ,25961.403 ,25096.146 ,25203.967 ,25800.573 ,24762.326,25476.389,26099.94,26503.187,26038.72,26227.621,24817.272 ,AT
2,Bosnia and Herzegovina,: ,: ,: ,: ,: ,3103.6240000000003,3316.907,3543.934,3497.933,4211.931,4192.651,4025.379 ,BA
3,Belgium,32846.390 ,35402.324 ,32573.219 ,33008.826 ,34059.593 ,31580.693,33149.907999999996,33427.056000000004,32966.074,33183.95,32579.814,31039.168 ,BE
4,Bulgaria,8471.946 ,8699.392 ,9125.105 ,9103.369 ,8680.757 ,8881.501,9388.553,9517.949,9745.903,9755.122,9706.771999999999,9512.739 ,BG
5,Cyprus,1661.850 ,1645.788 ,1614.212 ,1492.799 ,1372.455 ,1377.348,1423.9229999999998,1490.606,1551.546,1581.273,1626.652,1528.558 ,CY
6,Czechia,23795.329 ,24121.144 ,23335.941 ,23321.757 ,23126.347 ,22439.445,23093.897999999997,23690.581000000002,24440.504,24186.092,24222.332000000002,23753.374 ,CZ
7,Germany,196728.372 ,209923.090 ,199292.537 ,202662.536 ,208057.421 ,197229.01899999997,200031.296,203666.98100000003,204512.293,200684.593,200804.342,193616.957 ,DE
8,Denmark,14146.331 ,14850.955 ,14117.097 ,13612.515 ,13461.011 ,12932.566,13462.655,13764.298,13816.624,13807.065,13546.716,13130.771 ,DK
9,Euro area - 19 countries  (from 2015),752364.938 ,781698.455 ,745353.342 ,746520.945 ,748427.468 ,711866.025,726217.548,737827.397,743846.1259999999,742086.432,738777.123,690156.711 ,EA19
10,Estonia,2724.541 ,2878.489 ,2781.689 ,2827.225 ,2840.316 ,2774.349,2750.345,2794.835,2807.413,2887.281,2823.2909999999997,2726.818 ,EE
11,Greece,19732.182 ,18373.799 ,18185.332 ,16402.985 ,14668.337 ,14804.112,15741.021,15879.176000000001,15720.777,15152.503,15401.091,14482.855 ,EL
12,Spain,84195.072 ,85494.707 ,82385.243 ,78995.093 ,76050.130 ,75138.488,75941.26,77626.932,79691.902,81689.296,81513.788,72323.256 ,ES
