sector,country,date,value
transport,AL,2009,754.562
transport,AL,2010,732.789
transport,AL,2011,768.01
transport,AL,2012,737.022
transport,AL,2013,804.074
transport,AL,2014,833.978
transport,AL,2015,829.298
transport,AL,2016,832.543
transport,AL,2017,831.899
transport,AL,2018,832.167
transport,AL,2019,834.858
transport,AL,2020,603.439
transport,AT,2009,7911.725
transport,AT,2010,8163.403
transport,AT,2011,7874.596
transport,AT,2012,7792.366
transport,AT,2013,8294.925
transport,AT,2014,8228.068
transport,AT,2015,8464.597
transport,AT,2016,8598.512
transport,AT,2017,8724.365
transport,AT,2018,8836.593
transport,AT,2019,8835.886
transport,AT,2020,7728.024
transport,BA,2014,988.905
transport,BA,2015,1030.976
transport,BA,2016,1196.912
transport,BA,2017,1248.92
transport,BA,2018,1238.269
transport,BA,2019,1322.151
transport,BA,2020,1195.818
transport,BE,2009,8983.816
transport,BE,2010,8942.501
transport,BE,2011,8799.874
transport,BE,2012,8542.173
transport,BE,2013,8387.048
transport,BE,2014,8520.783
transport,BE,2015,8910.586
transport,BE,2016,9010.348
transport,BE,2017,8858.129
transport,BE,2018,8897.132
transport,BE,2019,8835.707
transport,BE,2020,7764.756
transport,BG,2009,2761.501
transport,BG,2010,2694.753
transport,BG,2011,2759.922
transport,BG,2012,2914.39
transport,BG,2013,2620.341
transport,BG,2014,2916.487
transport,BG,2015,3211.585
transport,BG,2016,3268.077
transport,BG,2017,3324.915
transport,BG,2018,3372.188
transport,BG,2019,3409.544
transport,BG,2020,3215.317
transport,CY,2009,749.52
transport,CY,2010,765.447
transport,CY,2011,744.315
transport,CY,2012,687.941
transport,CY,2013,619.936
transport,CY,2014,599.542
transport,CY,2015,621.949
transport,CY,2016,658.147
transport,CY,2017,681.155
transport,CY,2018,684.771
transport,CY,2019,692.28
transport,CY,2020,617.279
transport,CZ,2009,6220.839
transport,CZ,2010,5916.11
transport,CZ,2011,5935.592
transport,CZ,2012,5788.889
transport,CZ,2013,5738.681
transport,CZ,2014,5948.768
transport,CZ,2015,6195.22
transport,CZ,2016,6417.093
transport,CZ,2017,6617.264
transport,CZ,2018,6659.891
transport,CZ,2019,6778.778
transport,CZ,2020,6378.679
transport,DE,2009,52532.628
transport,DE,2010,53143.376
transport,DE,2011,53638.674
transport,DE,2012,53259.098
transport,DE,2013,54240.042
transport,DE,2014,55445.775
transport,DE,2015,55144.756
transport,DE,2016,56556.589
transport,DE,2017,57247.225
transport,DE,2018,55470.398
transport,DE,2019,56220.462
transport,DE,2020,50965.833
transport,DK,2009,4387.797
transport,DK,2010,4351.728
transport,DK,2011,4340.893
transport,DK,2012,4064.881
transport,DK,2013,3997.071
transport,DK,2014,4031.418
transport,DK,2015,4217.267
transport,DK,2016,4274.602
transport,DK,2017,4264.461
transport,DK,2018,4308.604
transport,DK,2019,4236.178
transport,DK,2020,3937.089
transport,EE,2009,713.25
transport,EE,2010,754.608
transport,EE,2011,749.262
transport,EE,2012,757.812
transport,EE,2013,739.198
transport,EE,2014,741.51
transport,EE,2015,760.004
transport,EE,2016,776.895
transport,EE,2017,803.862
transport,EE,2018,832.121
transport,EE,2019,831.979
transport,EE,2020,792.765
transport,EL,2009,8354.058
transport,EL,2010,7476.887
transport,EL,2011,6705.525
transport,EL,2012,5615.546
transport,EL,2013,5608.77
transport,EL,2014,5635.497
transport,EL,2015,5753.399
transport,EL,2016,5897.048
transport,EL,2017,5815.313
transport,EL,2018,5897.204
transport,EL,2019,6045.183
transport,EL,2020,5141.857
transport,ES,2009,34807.408
transport,ES,2010,34247.277
transport,ES,2011,32463.578
transport,ES,2012,29785.944
transport,ES,2013,28189.828
transport,ES,2014,28413.265
transport,ES,2015,29426.255
transport,ES,2016,30616.378
transport,ES,2017,31731.648
transport,ES,2018,32531.635
transport,ES,2019,32951.155
transport,ES,2020,26162.033
transport,FI,2009,4131.599
