,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
0,Albania,487.171 ,489.039 ,498.280 ,509.086 ,580.003 ,556.243,532.2869999999999,496.35,492.58,510.48400000000004,504.986,541.030 ,AL
1,Austria,6492.475 ,7070.224 ,6551.691 ,6677.912 ,6923.356 ,6239.87,6631.937,6909.468000000001,6955.601,6531.090999999999,6677.534000000001,6683.075 ,AT
2,Bosnia and Herzegovina,: ,: ,: ,: ,: ,980.816,1113.03,1139.361,1045.641,1719.424,1686.605,1800.213 ,BA
3,Belgium,8649.642 ,9623.737 ,8017.360 ,8492.490 ,9122.367 ,7452.7609999999995,8235.112,8271.116,8143.814,8064.398,7856.408,7934.525 ,BE
4,Bulgaria,2114.011 ,2243.338 ,2374.281 ,2352.559 ,2241.036 ,2164.991,2192.9120000000003,2252.111,2318.715,2229.672,2162.252,2382.245 ,BG
5,Cyprus,358.796 ,336.524 ,356.538 ,351.763 ,306.622 ,293.742,326.61400000000003,335.594,345.14599999999996,337.17900000000003,362.606,364.493 ,CY
6,Czechia,6656.571 ,7440.711 ,6863.723 ,7115.570 ,7269.133 ,6554.173000000001,6769.51,7090.172,7202.965,7042.7080000000005,6963.387,7148.052 ,CZ
7,Germany,59464.701 ,63839.122 ,56020.249 ,59188.124 ,62517.628 ,53648.149000000005,54959.824,56963.58,56777.115,55822.36,57743.03,57989.236 ,DE
8,Denmark,4510.054 ,5005.148 ,4496.285 ,4444.480 ,4484.149 ,4146.3,4442.024,4585.481,4501.325,4450.321,4391.558,4323.483 ,DK
9,Euro area - 19 countries  (from 2015),204835.794 ,216390.463 ,193208.611 ,203167.709 ,207426.967 ,180324.951,189389.96399999998,193374.78399999999,193487.03699999998,190114.015,190674.954,189836.910 ,EA19
10,Estonia,970.068 ,1026.849 ,935.253 ,970.828 ,933.506 ,888.143,857.435,930.578,940.914,941.03,951.328,944.664 ,EE
11,Greece,4887.508 ,4666.492 ,5526.044 ,5096.015 ,3821.337 ,3844.875,4460.625,4348.678,4413.305,3914.348,4113.967000000001,4290.417 ,EL
12,Spain,15957.589 ,16951.831 ,15633.895 ,15530.469 ,14888.925 ,14787.31,15269.841999999999,14331.695,14392.021999999999,15178.832,14447.71,14558.175 ,ES
13,European Union - 27 countries (from 2020),262312.209 ,278887.004 ,251827.991 ,262944.968 ,266032.655 ,234580.172,245012.797,250844.669,251688.854,249776.68600000002,248218.755,248243.382 ,EU27_2020
14,Finland,5246.647 ,5811.234 ,5091.152 ,5455.636 ,5172.734 ,5126.1990000000005,4950.975,5342.235,5761.435,5691.11,5631.035,5289.256 ,FI
15,France,43976.870 ,45407.793 ,39677.038 ,43710.318 ,45858.270 ,37786.86,39906.35,41834.982,41112.358,39759.77,39619.892,38710.694 ,FR
16,Georgia,: ,: ,: ,: ,1159.320 ,1194.979,1201.348,1266.269,1336.297,1227.303,1300.65,1408.174 ,GE
17,Croatia,2644.875 ,2770.684 ,2643.689 ,2561.737 ,2493.049 ,2228.381,2429.885,2408.902,2392.794,2298.942,2238.639,2277.143 ,HR
18,Hungary,6311.473 ,6648.743 ,6569.577 ,6375.847 ,6209.747 ,5487.451999999999,5969.813,6172.733,6294.138000000001,5818.115,5676.869000000001,5966.452 ,HU
19,Ireland,3411.573 ,3573.380 ,3133.548 ,2984.811 ,2910.357 ,2623.6740000000004,2790.719,2867.3579999999997,2775.8959999999997,2963.9590000000003,2880.357,3124.883 ,IE
20,Iceland,375.096 ,377.577 ,370.818 ,400.502 ,399.164 ,384.69199999999995,392.23400000000004,423.296,422.526,505.48900000000003,454.055,482.238 ,IS
21,Italy,34040.636 ,35392.911 ,32378.063 ,34348.336 ,34230.620 ,29545.98,32494.482999999997,32185.101000000002,32898.638999999996,31905.558999999997,31138.335,30655.992 ,IT
22,Lithuania,1568.648 ,1593.216 ,1532.207 ,1534.798 ,1467.198 ,1400.9,1359.131,1433.211,1455.374,1511.606,1447.1770000000001,1433.361 ,LT
23,Luxembourg,517.987 ,512.414 ,477.528 ,490.129 ,498.030 ,467.848,508.67199999999997,524.557,534.5369999999999,499.165,461.494,495.707 ,LU
24,Latvia,1534.586 ,1388.905 ,1327.389 ,1376.240 ,1267.242 ,1238.471,1105.5819999999999,1143.483,1195.604,1231.009,1187.9669999999999,1115.366 ,LV
25,Moldova,: ,1112.668 ,1137.092 ,1155.360 ,1147.203 ,1169.757,1179.9460000000001,1233.6689999999999,1316.751,1356.862,1237.815,1254.860 ,MD
26,Montenegro,266.275 ,274.679 ,268.887 ,281.347 ,269.251 ,256.27299999999997,265.421,264.617,263.151,248.017,243.959,243.169 ,ME
27,North Macedonia,549.169 ,538.208 ,567.027 ,559.010 ,519.019 ,523.5790000000001,531.06,491.61300000000006,529.132,483.57599999999996,492.26599999999996,513.382 ,MK
28,Malta,64.393 ,69.245 ,68.760 ,72.178 ,73.999 ,73.904,79.865,77.575,91.096,96.33,103.25299999999999,104.913 ,MT
29,Netherlands,11027.901 ,12480.144 ,10280.980 ,10866.787 ,11412.549 ,9116.954,9547.202,9839.39,9627.391,9646.473,9460.649,9312.144 ,NL
30,Norway,4227.355 ,4734.338 ,4278.750 ,4530.381 ,4483.646 ,4215.799,4385.799,4438.346,4533.744000000001,4579.2609999999995,4565.951,4434.490 ,NO
31,Poland,19991.704 ,22003.223 ,20130.337 ,20812.831 ,20492.342 ,19034.91,19032.33,19886.418999999998,20063.013,22557.493,20993.898999999998,21101.347 ,PL
32,Portugal,3197.832 ,2970.645 ,2777.129 ,2694.958 ,2634.808 ,2776.692,2751.7490000000003,2819.4840000000004,2801.785,2877.758,2891.348,3013.003 ,PT
33,Romania,8015.179 ,8102.009 ,7859.678 ,8060.582 ,7721.970 ,7409.681,7375.183000000001,7414.92,7732.0380000000005,7775.08,7753.283,8007.426 ,RO
34,Serbia,3043.422 ,3078.701 ,3134.547 ,3122.404 ,2846.752 ,2752.7740000000003,2826.151,2924.257,2853.554,2838.427,2854.671,3488.069 ,RS
35,Sweden,7232.548 ,8282.685 ,7681.810 ,8053.653 ,7694.262 ,7229.3330000000005,7411.1759999999995,7659.147,7696.829000000001,7490.34,7363.914000000001,7200.324 ,SE
36,Slovenia,1320.449 ,1364.215 ,1302.665 ,1255.831 ,1240.442 ,1060.7069999999999,1166.185,1186.482,1156.364,1084.519,1057.452,1072.435 ,SI
37,Slovakia,2147.493 ,2311.582 ,2121.122 ,2070.086 ,2146.977 ,1951.912,1987.662,2030.217,2108.641,2057.519,2643.4120000000003,2744.571 ,SK
38,Turkey,18864.658 ,19414.937 ,20809.776 ,20187.463 ,19807.984 ,19166.343999999997,20153.33,20711.118000000002,22167.051,20557.145,21563.923,23029.022 ,TR
