,Country,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 ,2020 ,abbreviation
0,Albania,282.307 ,354.766 ,379.510 ,276.839 ,281.451 ,372.76800000000003,301.176,285.923,405.514,457.43199999999996,366.407,385.240 ,AL
1,Austria,7126.442 ,7567.819 ,7597.055 ,7654.898 ,7493.815 ,7341.643,7365.049,7608.786999999999,7629.491999999999,7559.531,7542.72,7322.451 ,AT
2,Bosnia and Herzegovina,: ,: ,: ,: ,: ,717.2860000000001,756.627,754.1039999999999,828.931,863.498,737.688,604.742 ,BA
3,Belgium,9646.804 ,10956.415 ,10560.732 ,10535.124 ,10770.704 ,10605.158000000001,10609.864,10663.329,10468.998,10707.991000000002,10334.863000000001,10023.236 ,BE
4,Bulgaria,2442.063 ,2549.961 ,2696.440 ,2566.576 ,2595.527 ,2617.5229999999997,2719.6409999999996,2655.4590000000003,2757.5159999999996,2736.1440000000002,2678.8059999999996,2646.350 ,BG
5,Cyprus,261.129 ,236.322 ,210.304 ,173.464 ,186.089 ,225.53900000000002,211.592,215.36900000000003,234.2,227.688,228.648,244.646 ,CY
6,Czechia,7355.363 ,6888.698 ,6770.870 ,6721.828 ,6421.714 ,6325.607,6471.744000000001,6407.645,6729.23,6694.234,6613.436,6554.352 ,CZ
7,Germany,50487.292 ,56668.914 ,57409.744 ,56712.955 ,56347.486 ,55725.644,56067.59,56677.082,57146.08900000001,57090.092000000004,55649.346,54188.966 ,DE
8,Denmark,2353.089 ,2447.235 ,2442.845 ,2303.859 ,2179.683 ,2120.897,2109.643,2165.897,2284.765,2318.721,2257.326,2304.254 ,DK
9,Euro area - 19 countries  (from 2015),183438.398 ,196478.383 ,196229.643 ,192439.044 ,189622.253 ,186580.708,185930.918,189824.849,189912.747,191375.04100000003,188189.378,180183.929 ,EA19
10,Estonia,529.854 ,577.671 ,586.045 ,564.247 ,639.597 ,555.819,535.033,457.75699999999995,462.926,487.80800000000005,459.267,407.970 ,EE
11,Greece,3462.364 ,3472.811 ,3322.823 ,2995.491 ,2835.531 ,3088.3,3128.446,3073.1220000000003,2762.817,2738.8540000000003,2587.606,2523.498 ,EL
12,Spain,20698.891 ,20781.483 ,20627.827 ,20107.728 ,19601.617 ,19311.863999999998,18691.281000000003,19897.234,20394.457,20666.439,20642.726000000002,18840.560 ,ES
13,European Union - 27 countries (from 2020),229248.069 ,243931.628 ,244695.806 ,240038.199 ,237133.541 ,233796.26899999997,233689.38100000002,237994.427,240289.953,242693.617,239416.854,231211.890 ,EU27_2020
14,Finland,9373.885 ,10714.785 ,10520.526 ,10235.612 ,10270.316 ,10218.631,10208.687,10531.027,10696.042,11065.527,10963.152,10248.233 ,FI
15,France,26277.824 ,27739.167 ,29667.704 ,29419.823 ,29384.605 ,28116.135,27886.627,28584.482999999997,27589.636000000002,28197.729,27500.35,25798.379 ,FR
16,Georgia,: ,: ,: ,: ,732.824 ,759.0939999999999,776.551,747.355,836.1419999999999,868.278,822.425,783.177 ,GE
17,Croatia,1372.061 ,1329.298 ,1246.281 ,1098.882 ,1075.385 ,1066.757,1056.526,1057.393,1148.118,1161.853,1172.434,1171.209 ,HR
18,Hungary,2424.570 ,2604.791 ,2998.149 ,3182.392 ,3725.701 ,3705.025,3867.2209999999995,3995.724,4282.774,4453.878,4460.455,4431.346 ,HU
19,Ireland,1852.092 ,1854.207 ,1730.153 ,1727.191 ,1806.749 ,1994.6070000000002,2006.61,2082.813,2164.59,2259.3070000000002,2248.4570000000003,2166.932 ,IE
20,Iceland,1307.810 ,1299.919 ,1324.183 ,1359.322 ,1424.410 ,1442.055,1460.0479999999998,1344.211,1394.3039999999999,1401.396,1315.4229999999998,1298.425 ,IS
21,Italy,28552.887 ,29014.718 ,27744.858 ,26948.704 ,25353.587 ,24739.085,24853.372000000003,25088.949,24925.749,24663.854,24928.486,23861.103 ,IT
22,Lithuania,872.141 ,949.629 ,1013.346 ,1071.759 ,1037.327 ,1033.722,982.755,988.9689999999999,1070.927,1106.588,1113.763,1024.340 ,LT
23,Luxembourg,675.084 ,753.212 ,738.941 ,693.133 ,662.241 ,662.9910000000001,645.852,672.673,630.695,648.871,631.731,584.698 ,LU
24,Latvia,651.715 ,773.847 ,747.755 ,827.436 ,767.643 ,791.158,787.78,748.954,793.3560000000001,897.8919999999999,852.758,870.923 ,LV
25,Moldova,: ,224.763 ,232.392 ,234.103 ,250.298 ,227.15599999999998,212.33,196.05599999999998,211.736,248.859,231.63099999999997,224.290 ,MD
26,Montenegro,233.276 ,199.250 ,226.735 ,203.208 ,183.351 ,133.191,131.817,120.024,139.009,135.524,137.222,133.129 ,ME
27,North Macedonia,427.237 ,542.230 ,633.919 ,579.083 ,555.332 ,517.614,474.779,441.26300000000003,388.256,412.335,450.04900000000004,463.322 ,MK
28,Malta,51.930 ,44.120 ,39.867 ,43.762 ,52.230 ,55.495,55.138999999999996,54.925,57.156000000000006,54.883,56.766999999999996,58.423 ,MT
29,Netherlands,13364.817 ,14419.099 ,13868.099 ,13680.315 ,13501.601 ,13236.577,12922.328000000001,13547.016000000001,13612.266000000001,13465.281,13043.89,13118.370 ,NL
30,Norway,5491.896 ,6253.211 ,6250.184 ,6033.135 ,6049.522 ,5942.081999999999,5984.276999999999,5993.18,6103.478,6248.278,6258.222,6321.490 ,NO
31,Poland,12823.318 ,13499.290 ,13961.482 ,13733.264 ,14210.705 ,14153.252,14095.62,14652.42,15819.88,16327.935,16492.203999999998,15921.165 ,PL
32,Portugal,5213.596 ,5456.022 ,5351.641 ,4606.171 ,4598.647 ,4405.499,4411.521,4381.447,4525.2970000000005,4554.960999999999,4618.957,4503.027 ,PT
33,Romania,6144.626 ,6484.195 ,7059.692 ,6748.255 ,6272.845 ,6427.425,6418.898,6263.795999999999,6437.729,6612.433000000001,6661.063,6437.031 ,RO
34,Serbia,1992.663 ,2428.856 ,2740.411 ,2463.907 ,2395.892 ,1955.64,2046.575,2174.147,2266.02,2397.904,2183.785,1966.405 ,RS
35,Sweden,10894.581 ,11649.777 ,11290.404 ,11244.099 ,11029.728 ,10799.075,11019.17,10971.243999999999,10917.194,11013.378,10891.752,11562.254 ,SE
36,Slovenia,1221.108 ,1274.056 ,1236.892 ,1207.414 ,1197.651 ,1231.213,1228.021,1242.337,1295.612,1319.2060000000001,1322.211,1259.997 ,SI
37,Slovakia,3118.543 ,3224.086 ,3255.331 ,3233.817 ,3114.817 ,3241.6279999999997,3333.3709999999996,3308.5759999999996,3452.442,3662.539,3463.68,3138.177 ,SK
38,Turkey,18944.871 ,22315.535 ,24891.605 ,25566.818 ,24029.040 ,25101.897,26109.622000000003,26330.092999999997,32121.826,32331.057999999997,30491.713,32577.260 ,TR
39,Ukraine,22236.711 ,24938.886 ,25810.737 ,23981.954 ,21841.758 ,20568.374,16377.631000000001,15512.409,15094.858999999999,16416.221999999998,16126.577,15979.570 ,UA
40,United Kingdom,24360.055 ,25596.576 ,23952.179 ,23613.280 ,23643.762 ,22967.702999999998,23060.44,21304.966,21625.725,21689.347999999998,21118.796000000002,: ,UK
41,Kosovo (under United Nations Security Council Resolution 1244/99),241.752 ,277.582 ,307.986 ,273.752 ,262.900 ,245.253,307.181,281.257,313.24,281.795,299.97,302.386 ,XK
