year,source,target,value
total,electricity_imports,EE,37433.0
2011,electricity_imports,IE,731.622
2012,electricity_imports,IE,783.605
2013,electricity_imports,IE,2625.164
2014,electricity_imports,IE,2853.015
2015,electricity_imports,IE,1751.975
2016,electricity_imports,IE,871.263
2017,electricity_imports,IE,1116.408
2018,electricity_imports,IE,1621.519
2019,electricity_imports,IE,2179.579
2020,electricity_imports,IE,1761.112
total,electricity_imports,IE,16295.262
2011,electricity_imports,EL,7180.0
2012,electricity_imports,EL,5954.0
2013,electricity_imports,EL,5788.0
2014,electricity_imports,EL,9461.0
2015,electricity_imports,EL,11081.0
2016,electricity_imports,EL,9833.0
2017,electricity_imports,EL,8696.0
2018,electricity_imports,EL,8550.0
2019,electricity_imports,EL,11067.0
2020,electricity_imports,EL,9831.0
total,electricity_imports,EL,87441.0
2011,electricity_imports,ES,7932.0
2012,electricity_imports,ES,7787.0
2013,electricity_imports,ES,9887.0
2014,electricity_imports,ES,12310.0
2015,electricity_imports,ES,14956.0
2016,electricity_imports,ES,21845.0
2017,electricity_imports,ES,23762.0
2018,electricity_imports,ES,24018.0
2019,electricity_imports,ES,18720.84
2020,electricity_imports,ES,17928.364
total,electricity_imports,ES,159146.204
2011,electricity_imports,FR,9501.0
2012,electricity_imports,FR,12213.0
2013,electricity_imports,FR,11687.0
2014,electricity_imports,FR,7873.0
2015,electricity_imports,FR,9961.0
2016,electricity_imports,FR,19903.0
2017,electricity_imports,FR,21119.18
2018,electricity_imports,FR,13512.09
2019,electricity_imports,FR,15631.75
2020,electricity_imports,FR,19536.102
total,electricity_imports,FR,140937.122
2011,electricity_imports,HR,13985.0
2012,electricity_imports,HR,13174.0
2013,electricity_imports,HR,11260.0
2014,electricity_imports,HR,10898.0
2015,electricity_imports,HR,13158.0
2016,electricity_imports,HR,12398.0
2017,electricity_imports,HR,12157.9
2018,electricity_imports,HR,12693.4
2019,electricity_imports,HR,11400.8
2020,electricity_imports,HR,10491.0
total,electricity_imports,HR,121616.1
2011,electricity_imports,IT,47519.0
2012,electricity_imports,IT,45407.0
2013,electricity_imports,IT,44338.0
2014,electricity_imports,IT,46747.0
2015,electricity_imports,IT,50849.0
2016,electricity_imports,IT,43181.0
2017,electricity_imports,IT,42894.881
2018,electricity_imports,IT,47170.204
2019,electricity_imports,IT,43974.94
2020,electricity_imports,IT,39789.94
total,electricity_imports,IT,451870.965
2011,electricity_imports,CY,0.0
2012,electricity_imports,CY,0.0
2013,electricity_imports,CY,0.0
2014,electricity_imports,CY,0.0
2015,electricity_imports,CY,0.0
2016,electricity_imports,CY,0.0
2017,electricity_imports,CY,0.0
2018,electricity_imports,CY,0.0
2019,electricity_imports,CY,0.0
2020,electricity_imports,CY,0.0
total,electricity_imports,CY,0.0
2011,electricity_imports,LV,4009.0
2012,electricity_imports,LV,4935.0
2013,electricity_imports,LV,5005.0
2014,electricity_imports,LV,5340.0
2015,electricity_imports,LV,5246.0
2016,electricity_imports,LV,4828.0
2017,electricity_imports,LV,4072.912
2018,electricity_imports,LV,5173.682
2019,electricity_imports,LV,4610.761
2020,electricity_imports,LV,4173.365
total,electricity_imports,LV,47393.72
2011,electricity_imports,LT,8086.0
2012,electricity_imports,LT,8060.0
2013,electricity_imports,LT,8073.0
2014,electricity_imports,LT,8521.0
2015,electricity_imports,LT,7938.0
2016,electricity_imports,LT,11106.0
2017,electricity_imports,LT,11926.2
2018,electricity_imports,LT,12847.5
2019,electricity_imports,LT,13267.9
2020,electricity_imports,LT,12013.4
total,electricity_imports,LT,101839.0
2011,electricity_imports,LU_CAP,7096.34
2012,electricity_imports,LU_CAP,6732.098
2013,electricity_imports,LU_CAP,6851.524
2014,electricity_imports,LU_CAP,6961.176
2015,electricity_imports,LU_CAP,7518.755
2016,electricity_imports,LU_CAP,7718.393
2017,electricity_imports,LU_CAP,7566.69
2018,electricity_imports,LU_CAP,7553.012
2019,electricity_imports,LU_CAP,6817.52
2020,electricity_imports,LU_CAP,6543.493
total,electricity_imports,LU_CAP,71359.001
2011,electricity_imports,HU,14664.0
2012,electricity_imports,HU,16970.0
2013,electricity_imports,HU,16635.0
2014,electricity_imports,HU,19079.0
2015,electricity_imports,HU,19935.0
2016,electricity_imports,HU,17951.0
2017,electricity_imports,HU,19803.0
2018,electricity_imports,HU,18613.0
2019,electricity_imports,HU,19853.0
2020,electricity_imports,HU,19176.0
total,electricity_imports,HU,182679.0
2011,electricity_imports,MT001,0.0
2012,electricity_imports,MT001,0.0
2013,electricity_imports,MT001,0.0
2014,electricity_imports,MT001,0.0
2015,electricity_imports,MT001,1054.0
2016,electricity_imports,MT001,1526.688
2017,electricity_imports,MT001,897.066
2018,electricity_imports,MT001,631.293
2019,electricity_imports,MT001,656.756
2020,electricity_imports,MT001,419.81
total,electricity_imports,MT001,5185.613
2011,electricity_imports,NL,20620.0
2012,electricity_imports,NL,32156.0
2013,electricity_imports,NL,33252.0
2014,electricity_imports,NL,32855.0
2015,electricity_imports,NL,30760.009
2016,electricity_imports,NL,24257.626
2017,electricity_imports,NL,22457.715
2018,electricity_imports,NL,26754.59
2019,electricity_imports,NL,20402.855
2020,electricity_imports,NL,19773.283
total,electricity_imports,NL,263289.078
2011,electricity_imports,AT,24976.711
2012,electricity_imports,AT,23429.715
2013,electricity_imports,AT,24959.57
2014,electricity_imports,AT,26711.723
2015,electricity_imports,AT,29389.163
2016,electricity_imports,AT,26366.16
2017,electricity_imports,AT,29362.427
2018,electricity_imports,AT,28076.136
2019,electricity_imports,AT,26046.847
2020,electricity_imports,AT,24522.492
total,electricity_imports,AT,263840.944
2011,electricity_imports,PL,6780.0
2012,electricity_imports,PL,9803.0
2013,electricity_imports,PL,7801.0
2014,electricity_imports,PL,13508.0
2015,electricity_imports,PL,14459.0
2016,electricity_imports,PL,14017.0
2017,electricity_imports,PL,13271.0
2018,electricity_imports,PL,13815.804
2019,electricity_imports,PL,17868.327
2020,electricity_imports,PL,20624.119
total,electricity_imports,PL,131947.25
2011,electricity_imports,PT,6742.0
2012,electricity_imports,PT,10766.0
2013,electricity_imports,PT,8100.0
2014,electricity_imports,PT,7247.0
2015,electricity_imports,PT,8077.0
2016,electricity_imports,PT,4616.0
2017,electricity_imports,PT,5505.732
2018,electricity_imports,PT,5667.568
2019,electricity_imports,PT,8099.208
2020,electricity_imports,PT,7553.113
total,electricity_imports,PT,72373.621
2011,electricity_imports,RO,3410.0
2012,electricity_imports,RO,3903.0
2013,electricity_imports,RO,2737.0
2014,electricity_imports,RO,2811.0
2015,electricity_imports,RO,4492.0
2016,electricity_imports,RO,4177.0
2017,electricity_imports,RO,4841.754
2018,electricity_imports,RO,3696.594
2019,electricity_imports,RO,5492.633
2020,electricity_imports,RO,8251.648
total,electricity_imports,RO,43812.629
2011,electricity_imports,SI,7036.0
2012,electricity_imports,SI,7452.0
2013,electricity_imports,SI,7521.0
2014,electricity_imports,SI,7254.0
2015,electricity_imports,SI,9045.0
2016,electricity_imports,SI,8359.0
2017,electricity_imports,SI,9132.532
2018,electricity_imports,SI,8930.239
2019,electricity_imports,SI,9021.273
2020,electricity_imports,SI,7119.95
total,electricity_imports,SI,80870.994
2011,electricity_imports,SK,11227.0
2012,electricity_imports,SK,13472.0
2013,electricity_imports,SK,10719.0
2014,electricity_imports,SK,12964.0
2015,electricity_imports,SK,14999.0
2016,electricity_imports,SK,13249.0
2017,electricity_imports,SK,15563.0
2018,electricity_imports,SK,12428.0
2019,electricity_imports,SK,13538.0
2020,electricity_imports,SK,13289.0
total,electricity_imports,SK,131448.0
2011,electricity_imports,FI,17656.0
2012,electricity_imports,FI,19089.0
2013,electricity_imports,FI,17591.0
2014,electricity_imports,FI,21622.0
2015,electricity_imports,FI,21459.0
2016,electricity_imports,FI,22110.0
2017,electricity_imports,FI,22204.0
2018,electricity_imports,FI,22548.0
2019,electricity_imports,FI,23938.0
2020,electricity_imports,FI,21647.0
total,electricity_imports,FI,209864.0
2011,electricity_imports,SE,12481.0
2012,electricity_imports,SE,11682.0
2013,electricity_imports,SE,12674.0
2014,electricity_imports,SE,13852.0
2015,electricity_imports,SE,9294.0
2016,electricity_imports,SE,14287.0
2017,electricity_imports,SE,11896.0
2018,electricity_imports,SE,12202.0
2019,electricity_imports,SE,9070.0
2020,electricity_imports,SE,11827.0
total,electricity_imports,SE,119265.0
2011,electricity_imports,IS,0.0
2012,electricity_imports,IS,0.0
2013,electricity_imports,IS,0.0
2014,electricity_imports,IS,0.0
2015,electricity_imports,IS,0.0
2016,electricity_imports,IS,0.0
2017,electricity_imports,IS,0.0
2018,electricity_imports,IS,0.0
2019,electricity_imports,IS,0.0
2020,electricity_imports,IS,0.0
total,electricity_imports,IS,0.0
2014,electricity_imports,LI000,355.0
2015,electricity_imports,LI000,325.0
2016,electricity_imports,LI000,309.0
2017,electricity_imports,LI000,314.0
2018,electricity_imports,LI000,321.0
2019,electricity_imports,LI000,307.0
2020,electricity_imports,LI000,299.0
total,electricity_imports,LI000,2230.0
2011,electricity_imports,NO,11254.0
2012,electricity_imports,NO,4191.0
2013,electricity_imports,NO,10135.0
2014,electricity_imports,NO,6347.0
2015,electricity_imports,NO,7371.0
2016,electricity_imports,NO,5740.0
2017,electricity_imports,NO,6111.0
2018,electricity_imports,NO,8339.724
2019,electricity_imports,NO,12353.0
2020,electricity_imports,NO,4496.145
total,electricity_imports,NO,76337.869
2011,electricity_imports,UK,8690.0
2012,electricity_imports,UK,13775.0
2013,electricity_imports,UK,17532.0
2014,electricity_imports,UK,23244.0
2015,electricity_imports,UK,22960.871
2016,electricity_imports,UK,20017.923
2017,electricity_imports,UK,18166.98
2018,electricity_imports,UK,21332.415
2019,electricity_imports,UK,24555.587
total,electricity_imports,UK,170274.776
2011,electricity_imports,ME,1993.0
2012,electricity_imports,ME,1440.0
2013,electricity_imports,ME,388.0
2014,electricity_imports,ME,903.0
2015,electricity_imports,ME,1040.0
2016,electricity_imports,ME,1210.0
2017,electricity_imports,ME,1536.9
2018,electricity_imports,ME,780.0
2019,electricity_imports,ME,1195.5
2020,electricity_imports,ME,5943.0
total,electricity_imports,ME,16429.4
2011,electricity_imports,MK,2749.0
2012,electricity_imports,MK,2741.0
2013,electricity_imports,MK,2491.0
2014,electricity_imports,MK,3073.0
2015,electricity_imports,MK,2656.0
2016,electricity_imports,MK,2190.606
2017,electricity_imports,MK,2293.571
2018,electricity_imports,MK,2297.169
2019,electricity_imports,MK,2410.901
2020,electricity_imports,MK,2965.204
total,electricity_imports,MK,25867.451
2011,electricity_imports,AL,3262.0
2012,electricity_imports,AL,2538.0
2013,electricity_imports,AL,2323.0
2014,electricity_imports,AL,3250.0
2015,electricity_imports,AL,2355.0
2016,electricity_imports,AL,0.0
2017,electricity_imports,AL,2914.628
2018,electricity_imports,AL,850.48
2019,electricity_imports,AL,3176.515
2020,electricity_imports,AL,3238.631
total,electricity_imports,AL,23908.254
2011,electricity_imports,RS,6701.0
2012,electricity_imports,RS,5781.0
2013,electricity_imports,RS,4077.0
2014,electricity_imports,RS,7008.0
2015,electricity_imports,RS,6303.0
2016,electricity_imports,RS,5068.0
2017,electricity_imports,RS,6549.189
2018,electricity_imports,RS,6400.007
2019,electricity_imports,RS,5416.609
2020,electricity_imports,RS,5069.528
total,electricity_imports,RS,58373.333
2011,electricity_imports,TR,4556.0
2012,electricity_imports,TR,5827.0
2013,electricity_imports,TR,7429.0
2014,electricity_imports,TR,7953.0
2015,electricity_imports,TR,7136.0
2016,electricity_imports,TR,6330.0
2017,electricity_imports,TR,2728.268
2018,electricity_imports,TR,2476.887
2019,electricity_imports,TR,2211.506
2020,electricity_imports,TR,1889.521
total,electricity_imports,TR,48537.182
2014,electricity_imports,BA,3162.0
2015,electricity_imports,BA,3872.0
2016,electricity_imports,BA,3084.0
2017,electricity_imports,BA,3346.0
2018,electricity_imports,BA,3092.0
2019,electricity_imports,BA,2825.0
2020,electricity_imports,BA,3266.0
total,electricity_imports,BA,22647.0
2011,electricity_imports,XK,3135.0
2012,electricity_imports,XK,2773.0
2013,electricity_imports,XK,2551.0
2014,electricity_imports,XK,966.0
2015,electricity_imports,XK,684.0
2016,electricity_imports,XK,557.0
2017,electricity_imports,XK,1242.225
2018,electricity_imports,XK,825.182
2019,electricity_imports,XK,928.492
2020,electricity_imports,XK,965.632
total,electricity_imports,XK,14627.531
2011,electricity_imports,MD,3146.0
2012,electricity_imports,MD,3279.0
2013,electricity_imports,MD,3332.0
2014,electricity_imports,MD,3342.0
2015,electricity_imports,MD,3315.0
2016,electricity_imports,MD,3325.0
2017,electricity_imports,MD,3412.0
2018,electricity_imports,MD,3500.0
2019,electricity_imports,MD,3501.0
2020,electricity_imports,MD,3418.0
total,electricity_imports,MD,33570.0
2011,electricity_imports,UA,32.0
2012,electricity_imports,UA,89.0
2013,electricity_imports,UA,39.0
2014,electricity_imports,UA,89.0
2015,electricity_imports,UA,2241.0
2016,electricity_imports,UA,77.0
2017,electricity_imports,UA,50.0
2018,electricity_imports,UA,32.0
2019,electricity_imports,UA,2238.0
2020,electricity_imports,UA,2719.8
total,electricity_imports,UA,7606.8
2013,electricity_imports,GE,484.0
2014,electricity_imports,GE,853.0
2015,electricity_imports,GE,699.0
2016,electricity_imports,GE,1329.0
2017,electricity_imports,GE,1751.2
2018,electricity_imports,GE,1522.2
2019,electricity_imports,GE,1762.7
2020,electricity_imports,GE,1711.9
total,electricity_imports,GE,10113.0
2011,BE,solid_fossil_fuelsl_exports,1110.0
2012,BE,solid_fossil_fuelsl_exports,1293.0
2013,BE,solid_fossil_fuelsl_exports,949.0
2014,BE,solid_fossil_fuelsl_exports,838.0
2015,BE,solid_fossil_fuelsl_exports,136.9
2016,BE,solid_fossil_fuelsl_exports,78.9
2017,BE,solid_fossil_fuelsl_exports,106.1
2018,BE,solid_fossil_fuelsl_exports,76.0
2019,BE,solid_fossil_fuelsl_exports,125.8
2020,BE,solid_fossil_fuelsl_exports,229.1
total,BE,solid_fossil_fuelsl_exports,4942.8
2011,BG,solid_fossil_fuelsl_exports,125.0
2012,BG,solid_fossil_fuelsl_exports,135.0
2013,BG,solid_fossil_fuelsl_exports,83.0
2014,BG,solid_fossil_fuelsl_exports,51.0
2015,BG,solid_fossil_fuelsl_exports,36.0
2016,BG,solid_fossil_fuelsl_exports,17.0
2017,BG,solid_fossil_fuelsl_exports,22.301
2018,BG,solid_fossil_fuelsl_exports,42.582
2019,BG,solid_fossil_fuelsl_exports,50.27
2020,BG,solid_fossil_fuelsl_exports,27.796
total,BG,solid_fossil_fuelsl_exports,589.949
2011,CZ,solid_fossil_fuelsl_exports,7527.0
2012,CZ,solid_fossil_fuelsl_exports,7065.0
2013,CZ,solid_fossil_fuelsl_exports,6495.0
2014,CZ,solid_fossil_fuelsl_exports,5869.0
2015,CZ,solid_fossil_fuelsl_exports,5036.0
2016,CZ,solid_fossil_fuelsl_exports,5015.0
2017,CZ,solid_fossil_fuelsl_exports,4106.43
2018,CZ,solid_fossil_fuelsl_exports,3553.883
2019,CZ,solid_fossil_fuelsl_exports,2825.218
2020,CZ,solid_fossil_fuelsl_exports,1999.919
total,CZ,solid_fossil_fuelsl_exports,49492.45
2011,DK,solid_fossil_fuelsl_exports,0.0
2012,DK,solid_fossil_fuelsl_exports,11.0
2013,DK,solid_fossil_fuelsl_exports,52.0
2014,DK,solid_fossil_fuelsl_exports,52.0
2015,DK,solid_fossil_fuelsl_exports,92.078
2016,DK,solid_fossil_fuelsl_exports,20.828
2017,DK,solid_fossil_fuelsl_exports,0.023
2018,DK,solid_fossil_fuelsl_exports,16.899
2019,DK,solid_fossil_fuelsl_exports,45.808
2020,DK,solid_fossil_fuelsl_exports,194.004
total,DK,solid_fossil_fuelsl_exports,484.64
2011,DE,solid_fossil_fuelsl_exports,1759.0
2012,DE,solid_fossil_fuelsl_exports,2234.0
2013,DE,solid_fossil_fuelsl_exports,2193.0
2014,DE,solid_fossil_fuelsl_exports,3393.0
2015,DE,solid_fossil_fuelsl_exports,2886.0
2016,DE,solid_fossil_fuelsl_exports,2374.0
2017,DE,solid_fossil_fuelsl_exports,2551.0
2018,DE,solid_fossil_fuelsl_exports,2518.0
2019,DE,solid_fossil_fuelsl_exports,2541.596
2020,DE,solid_fossil_fuelsl_exports,2340.46
total,DE,solid_fossil_fuelsl_exports,24790.056
2011,EE,solid_fossil_fuelsl_exports,25.0
2012,EE,solid_fossil_fuelsl_exports,24.0
2013,EE,solid_fossil_fuelsl_exports,20.0
2014,EE,solid_fossil_fuelsl_exports,26.0
2015,EE,solid_fossil_fuelsl_exports,8.0
2016,EE,solid_fossil_fuelsl_exports,13.0
2017,EE,solid_fossil_fuelsl_exports,19.0
2018,EE,solid_fossil_fuelsl_exports,13.0
2019,EE,solid_fossil_fuelsl_exports,20.37
2020,EE,solid_fossil_fuelsl_exports,18.75
total,EE,solid_fossil_fuelsl_exports,187.12
2011,IE,solid_fossil_fuelsl_exports,10.188
2012,IE,solid_fossil_fuelsl_exports,12.532
2013,IE,solid_fossil_fuelsl_exports,13.969
2014,IE,solid_fossil_fuelsl_exports,13.34
2015,IE,solid_fossil_fuelsl_exports,15.9
2016,IE,solid_fossil_fuelsl_exports,13.334
2017,IE,solid_fossil_fuelsl_exports,13.156
2018,IE,solid_fossil_fuelsl_exports,0.0
2019,IE,solid_fossil_fuelsl_exports,0.0
2020,IE,solid_fossil_fuelsl_exports,0.0
total,IE,solid_fossil_fuelsl_exports,92.419
2011,EL,solid_fossil_fuelsl_exports,17.0
2012,EL,solid_fossil_fuelsl_exports,27.0
2013,EL,solid_fossil_fuelsl_exports,28.0
2014,EL,solid_fossil_fuelsl_exports,9.0
2015,EL,solid_fossil_fuelsl_exports,0.0
2016,EL,solid_fossil_fuelsl_exports,0.0
2017,EL,solid_fossil_fuelsl_exports,0.0
2018,EL,solid_fossil_fuelsl_exports,0.0
2019,EL,solid_fossil_fuelsl_exports,0.0
2020,EL,solid_fossil_fuelsl_exports,1.792
total,EL,solid_fossil_fuelsl_exports,82.792
2011,ES,solid_fossil_fuelsl_exports,1564.0
2012,ES,solid_fossil_fuelsl_exports,2337.0
2013,ES,solid_fossil_fuelsl_exports,845.0
2014,ES,solid_fossil_fuelsl_exports,1414.0
2015,ES,solid_fossil_fuelsl_exports,1232.0
2016,ES,solid_fossil_fuelsl_exports,590.0
2017,ES,solid_fossil_fuelsl_exports,396.0
2018,ES,solid_fossil_fuelsl_exports,541.0
2019,ES,solid_fossil_fuelsl_exports,1668.0
2020,ES,solid_fossil_fuelsl_exports,2082.0
total,ES,solid_fossil_fuelsl_exports,12669.0
2011,FR,solid_fossil_fuelsl_exports,83.0
2012,FR,solid_fossil_fuelsl_exports,72.0
2013,FR,solid_fossil_fuelsl_exports,13.0
2014,FR,solid_fossil_fuelsl_exports,56.0
2015,FR,solid_fossil_fuelsl_exports,27.0
2016,FR,solid_fossil_fuelsl_exports,83.0
2017,FR,solid_fossil_fuelsl_exports,5.626
2018,FR,solid_fossil_fuelsl_exports,49.849
2019,FR,solid_fossil_fuelsl_exports,6.172
2020,FR,solid_fossil_fuelsl_exports,12.501
total,FR,solid_fossil_fuelsl_exports,408.148
2011,HR,solid_fossil_fuelsl_exports,0.0
2012,HR,solid_fossil_fuelsl_exports,0.0
2013,HR,solid_fossil_fuelsl_exports,0.0
2014,HR,solid_fossil_fuelsl_exports,0.0
2015,HR,solid_fossil_fuelsl_exports,0.0
2016,HR,solid_fossil_fuelsl_exports,0.0
2017,HR,solid_fossil_fuelsl_exports,0.0
2018,HR,solid_fossil_fuelsl_exports,0.0
2019,HR,solid_fossil_fuelsl_exports,0.0
2020,HR,solid_fossil_fuelsl_exports,0.0
total,HR,solid_fossil_fuelsl_exports,0.0
2011,IT,solid_fossil_fuelsl_exports,276.0
2012,IT,solid_fossil_fuelsl_exports,312.0
2013,IT,solid_fossil_fuelsl_exports,246.0
2014,IT,solid_fossil_fuelsl_exports,343.0
2015,IT,solid_fossil_fuelsl_exports,389.0
2016,IT,solid_fossil_fuelsl_exports,374.0
2017,IT,solid_fossil_fuelsl_exports,341.78
2018,IT,solid_fossil_fuelsl_exports,363.489
2019,IT,solid_fossil_fuelsl_exports,291.96
2020,IT,solid_fossil_fuelsl_exports,305.112
total,IT,solid_fossil_fuelsl_exports,3242.341
2011,CY,solid_fossil_fuelsl_exports,0.0
2012,CY,solid_fossil_fuelsl_exports,0.0
2013,CY,solid_fossil_fuelsl_exports,0.0
2014,CY,solid_fossil_fuelsl_exports,0.0
2015,CY,solid_fossil_fuelsl_exports,0.0
2016,CY,solid_fossil_fuelsl_exports,0.0
2017,CY,solid_fossil_fuelsl_exports,0.0
2018,CY,solid_fossil_fuelsl_exports,0.0
2019,CY,solid_fossil_fuelsl_exports,0.0
2020,CY,solid_fossil_fuelsl_exports,0.0
total,CY,solid_fossil_fuelsl_exports,0.0
2011,LV,solid_fossil_fuelsl_exports,7.0
2012,LV,solid_fossil_fuelsl_exports,6.0
2013,LV,solid_fossil_fuelsl_exports,8.0
2014,LV,solid_fossil_fuelsl_exports,6.0
2015,LV,solid_fossil_fuelsl_exports,2.0
2016,LV,solid_fossil_fuelsl_exports,6.0
2017,LV,solid_fossil_fuelsl_exports,5.871
2018,LV,solid_fossil_fuelsl_exports,10.183
2019,LV,solid_fossil_fuelsl_exports,4.712
2020,LV,solid_fossil_fuelsl_exports,4.497
total,LV,solid_fossil_fuelsl_exports,60.263
2011,LT,solid_fossil_fuelsl_exports,24.0
2012,LT,solid_fossil_fuelsl_exports,23.0
2013,LT,solid_fossil_fuelsl_exports,35.0
2014,LT,solid_fossil_fuelsl_exports,0.0
2015,LT,solid_fossil_fuelsl_exports,0.0
2016,LT,solid_fossil_fuelsl_exports,0.0
2017,LT,solid_fossil_fuelsl_exports,0.0
2018,LT,solid_fossil_fuelsl_exports,0.0
2019,LT,solid_fossil_fuelsl_exports,0.0
2020,LT,solid_fossil_fuelsl_exports,0.0
total,LT,solid_fossil_fuelsl_exports,82.0
2011,LU_CAP,solid_fossil_fuelsl_exports,0.0
2012,LU_CAP,solid_fossil_fuelsl_exports,0.0
2013,LU_CAP,solid_fossil_fuelsl_exports,0.0
2014,LU_CAP,solid_fossil_fuelsl_exports,0.0
2015,LU_CAP,solid_fossil_fuelsl_exports,0.0
2016,LU_CAP,solid_fossil_fuelsl_exports,0.0
2017,LU_CAP,solid_fossil_fuelsl_exports,0.0
2018,LU_CAP,solid_fossil_fuelsl_exports,0.0
2019,LU_CAP,solid_fossil_fuelsl_exports,0.0
2020,LU_CAP,solid_fossil_fuelsl_exports,0.0
total,LU_CAP,solid_fossil_fuelsl_exports,0.0
2011,HU,solid_fossil_fuelsl_exports,373.0
2012,HU,solid_fossil_fuelsl_exports,440.0
2013,HU,solid_fossil_fuelsl_exports,766.0
2014,HU,solid_fossil_fuelsl_exports,897.0
2015,HU,solid_fossil_fuelsl_exports,699.0
2016,HU,solid_fossil_fuelsl_exports,670.0
2017,HU,solid_fossil_fuelsl_exports,376.0
2018,HU,solid_fossil_fuelsl_exports,306.0
2019,HU,solid_fossil_fuelsl_exports,321.0
2020,HU,solid_fossil_fuelsl_exports,259.0
total,HU,solid_fossil_fuelsl_exports,5107.0
2011,MT001,solid_fossil_fuelsl_exports,0.0
2012,MT001,solid_fossil_fuelsl_exports,0.0
2013,MT001,solid_fossil_fuelsl_exports,0.0
2014,MT001,solid_fossil_fuelsl_exports,0.0
2015,MT001,solid_fossil_fuelsl_exports,0.0
2016,MT001,solid_fossil_fuelsl_exports,0.0
2017,MT001,solid_fossil_fuelsl_exports,0.0
2018,MT001,solid_fossil_fuelsl_exports,0.0
2019,MT001,solid_fossil_fuelsl_exports,0.0
2020,MT001,solid_fossil_fuelsl_exports,0.0
total,MT001,solid_fossil_fuelsl_exports,0.0
2011,NL,solid_fossil_fuelsl_exports,55.0
2012,NL,solid_fossil_fuelsl_exports,109.0
2013,NL,solid_fossil_fuelsl_exports,323.0
2014,NL,solid_fossil_fuelsl_exports,608.0
2015,NL,solid_fossil_fuelsl_exports,123.444
2016,NL,solid_fossil_fuelsl_exports,58.701
2017,NL,solid_fossil_fuelsl_exports,111.501
2018,NL,solid_fossil_fuelsl_exports,33.481
2019,NL,solid_fossil_fuelsl_exports,74.594
2020,NL,solid_fossil_fuelsl_exports,272.031
total,NL,solid_fossil_fuelsl_exports,1768.752
2011,AT,solid_fossil_fuelsl_exports,7.705
2012,AT,solid_fossil_fuelsl_exports,2.877
2013,AT,solid_fossil_fuelsl_exports,1.92
2014,AT,solid_fossil_fuelsl_exports,2.063
2015,AT,solid_fossil_fuelsl_exports,58.547
2016,AT,solid_fossil_fuelsl_exports,39.392
2017,AT,solid_fossil_fuelsl_exports,41.434
2018,AT,solid_fossil_fuelsl_exports,43.924
2019,AT,solid_fossil_fuelsl_exports,37.564
2020,AT,solid_fossil_fuelsl_exports,29.674
total,AT,solid_fossil_fuelsl_exports,265.1
2011,PL,solid_fossil_fuelsl_exports,14029.0
2012,PL,solid_fossil_fuelsl_exports,13975.0
2013,PL,solid_fossil_fuelsl_exports,18035.0
2014,PL,solid_fossil_fuelsl_exports,16304.0
2015,PL,solid_fossil_fuelsl_exports,16250.0
2016,PL,solid_fossil_fuelsl_exports,16651.0
2017,PL,solid_fossil_fuelsl_exports,14153.253
2018,PL,solid_fossil_fuelsl_exports,12100.874
2019,PL,solid_fossil_fuelsl_exports,11072.377
