year,source,target,value
2011,electricity_imports,BE,13189.0
2012,electricity_imports,BE,16848.0
2013,electricity_imports,BE,17243.0
2014,electricity_imports,BE,21791.0
2015,electricity_imports,BE,23714.0
2016,electricity_imports,BE,14648.0
2017,electricity_imports,BE,14189.4
2018,electricity_imports,BE,21635.9
2019,electricity_imports,BE,12734.4
2020,electricity_imports,BE,13721.9
total,electricity_imports,BE,169714.6
2011,electricity_imports,BG,1449.0
2012,electricity_imports,BG,2353.0
2013,electricity_imports,BG,3351.0
2014,electricity_imports,BG,4319.0
2015,electricity_imports,BG,4251.0
2016,electricity_imports,BG,4568.0
2017,electricity_imports,BG,3705.423
2018,electricity_imports,BG,2222.726
2019,electricity_imports,BG,3044.947
2020,electricity_imports,BG,3706.736
total,electricity_imports,BG,32970.832
2011,electricity_imports,CZ,10457.0
2012,electricity_imports,CZ,11587.0
2013,electricity_imports,CZ,10571.0
2014,electricity_imports,CZ,11842.0
2015,electricity_imports,CZ,16146.0
2016,electricity_imports,CZ,13817.0
2017,electricity_imports,CZ,15071.999
2018,electricity_imports,CZ,11573.41
2019,electricity_imports,CZ,11026.213
2020,electricity_imports,CZ,13368.051
total,electricity_imports,CZ,125459.673
2011,electricity_imports,DK,11694.0
2012,electricity_imports,DK,15920.0
2013,electricity_imports,DK,11459.0
2014,electricity_imports,DK,12702.0
2015,electricity_imports,DK,15644.747
2016,electricity_imports,DK,14976.458
2017,electricity_imports,DK,15218.109
2018,electricity_imports,DK,15633.609
2019,electricity_imports,DK,15981.899
2020,electricity_imports,DK,18593.972
total,electricity_imports,DK,147823.794
2011,electricity_imports,DE,51003.0
2012,electricity_imports,DE,46268.0
2013,electricity_imports,DE,39222.0
2014,electricity_imports,DE,40435.0
2015,electricity_imports,DE,37008.0
2016,electricity_imports,DE,28338.0
2017,electricity_imports,DE,27842.0
2018,electricity_imports,DE,31727.0
2019,electricity_imports,DE,40126.0
2020,electricity_imports,DE,47853.0
total,electricity_imports,DE,389822.0
2011,electricity_imports,EE,1690.0
2012,electricity_imports,EE,2710.0
2013,electricity_imports,EE,2712.0
2014,electricity_imports,EE,3730.0
2015,electricity_imports,EE,5452.0
2016,electricity_imports,EE,3577.0
2017,electricity_imports,EE,2281.0
2018,electricity_imports,EE,3053.0
2019,electricity_imports,EE,4861.0
2020,electricity_imports,EE,7367.0
